no,alamat,km_awal,m_awal,km_akhir,m_akhir,lat,long,posisi,panjang,lebar,tinggi,jenis_kerusakan,tingkat_kerusakan,tanggal
52,Air Molek - Simpang Japura,0,870,0,872,-0.37664522755351526,102.24673635603718,Kanan Jalan,2.8,1.1,0.25,Lubang (Potholes),ringan,2024-08-12
53,Air Molek - Simpang Japura,1,30,1,36,-0.3761774656666899,102.24724498210966,Kiri Jalan,6,2,0.25,Lubang (Potholes),sedang,2024-08-12
54,Air Molek - Simpang Japura,1,150,1,157,-0.37573977010667253,102.24857236536792,Kiri Jalan,7.7,1.5,0.2,Lubang (Potholes),sedang,2024-08-12
55,Air Molek - Simpang Japura,1,185,1,187,-0.3756593055676815,102.24880303534613,Kiri Jalan,2.5,1.4,0.2,Lubang (Potholes),ringan,2024-08-12
56,Air Molek - Simpang Japura,1,195,1,200,-0.37563784835715075,102.24894251021665,Kiri Jalan,5.5,1.3,0.25,Lubang (Potholes),sedang,2024-08-12
57,Air Molek - Simpang Japura,1,230,1,243,-0.3754912248286239,102.24928380421699,Kiri Jalan,15,2.2,0.25,Lubang (Potholes),berat,2024-08-12
58,Air Molek - Simpang Japura,1,286,1,288,-0.3753107919093961,102.24959505769341,Kiri Jalan,2.8,1.9,0.2,Lubang (Potholes),ringan,2024-08-12
59,Air Molek - Simpang Japura,1,336,1,344,-0.37504916415693057,102.24981609276725,Kiri Jalan,9.8,1.8,0.25,Lubang (Potholes),sedang,2024-08-12
60,Air Molek - Simpang Japura,1,386,1,389,-0.37459357100574114,102.24995142036566,Kiri Jalan,5.5,2.2,0.25,Lubang (Potholes),sedang,2024-08-12
61,Air Molek - Simpang Japura,1,433,1,437,-0.37416504276227336,102.25007321519716,Kiri Jalan,6.2,2.2,0.25,Lubang (Potholes),sedang,2024-08-12
62,Air Molek - Simpang Japura,1,449,1,452,-0.3741875968803272,102.250086747957,Kiri Jalan,6.5,2.2,0.25,Lubang (Potholes),sedang,2024-08-12
63,Air Molek - Simpang Japura,1,462,1,463,-0.37401393016977347,102.25019049911579,Kiri Jalan,2.7,1.7,0.2,Lubang (Potholes),ringan,2024-08-12
64,Air Molek - Simpang Japura,1,500,1,502,-0.3736440426190349,102.25053107357185,Kiri Jalan,3.4,2.5,0.25,Lubang (Potholes),ringan,2024-08-12
65,Air Molek - Simpang Japura,1,600,1,603,-0.3730576354752743,102.25121447793606,Kiri Jalan,3.9,2,0.2,Lubang (Potholes),ringan,2024-08-12
66,Air Molek - Simpang Japura,1,640,1,644,-0.3728905814579562,102.25138912256,Kiri Jalan,4.5,2,0.2,Lubang (Potholes),ringan,2024-08-12
67,Air Molek - Simpang Japura,2,50,2,51,-0.37098435206195896,102.2541943378876,Kiri Jalan,2,2,0.2,Retak Buaya,ringan,2024-08-12
68,Air Molek - Simpang Japura,2,128,2,131,-0.370936073293861,102.25429894401636,Kiri Jalan,4.2,2,0.25,Lubang (Potholes),ringan,2024-08-12
69,Air Molek - Simpang Japura,2,150,2,157,-0.3707992835024121,102.25458057596647,Kiri Jalan,8,2,0.25,Lubang (Potholes),sedang,2024-08-12
70,Air Molek - Simpang Japura,2,485,2,486,-0.36725465217989683,102.25464914259501,Kiri Jalan,3,2,0.2,Lubang (Potholes),ringan,2024-08-12
71,Air Molek - Simpang Japura,2,560,2,567,-0.36669706078740527,102.25473638657178,Kiri Jalan,8,2.9,0.2,Lubang (Potholes),sedang,2024-08-12
72,Air Molek - Simpang Japura,2,600,2,611,-0.3662342978655581,102.25477431873591,Kiri Jalan,10,2.4,0.2,Lubang (Potholes),berat,2024-08-12
73,Air Molek - Simpang Japura,2,750,2,761,-0.3648460089281904,102.254888115227,Kiri Jalan,12,2,0.2,Lubang (Potholes),berat,2024-08-12
74,Air Molek - Simpang Japura,2,820,2,825,-0.3643529007942392,102.25500570493583,Kiri Jalan,5.9,1.5,0.2,Lubang (Potholes),sedang,2024-08-12
75,Air Molek - Simpang Japura,2,850,2,853,-0.36407220845978516,102.25519915897293,Kiri Jalan,4.5,1.8,0.25,Lubang (Potholes),ringan,2024-08-12
76,Air Molek - Simpang Japura,2,875,2,877,-0.36387875833229294,102.25545709768906,Kiri Jalan,3.9,2,0.2,Retak Buaya,ringan,2024-08-12
77,Air Molek - Simpang Japura,2,918,2,925,-0.3637801366693512,102.2557074499569,Kiri Jalan,7.6,3.6,0.23,Lubang (Potholes),sedang,2024-08-12
78,Air Molek - Simpang Japura,2,930,2,939,-0.3637763435339096,102.2556884838799,Kiri Jalan,9.2,2.3,0.25,Lubang (Potholes),sedang,2024-08-12
79,Air Molek - Simpang Japura,2,939,2,945,-0.36371565329628547,102.25580228037231,Kiri Jalan,8.2,3.6,0.22,Lubang (Potholes),sedang,2024-08-12
80,Air Molek - Simpang Japura,2,975,2,979,-0.36341599524206725,102.25614746306597,Kiri Jalan,6.9,1.9,0.2,Lubang (Potholes),sedang,2024-08-12
81,Air Molek - Simpang Japura,3,5,3,8,-0.36328702848147054,102.25624798330091,Kiri Jalan,4,2,0.2,Lubang (Potholes),ringan,2024-08-12
82,Air Molek - Simpang Japura,3,378,3,382,-0.36318285646290943,102.25861322631124,Kiri Jalan,5.4,1.8,0.2,Lubang (Potholes),sedang,2024-08-12
83,Air Molek - Simpang Japura,3,502,3,505,-0.36427907388166614,102.25983464199649,Kiri Jalan,3.7,1.8,0.2,Lubang (Potholes),ringan,2024-08-12
84,Air Molek - Simpang Japura,3,608,3,612,-0.3648518379781072,102.26052500735328,Kiri Jalan,4.8,1.8,0.25,Lubang (Potholes),ringan,2024-08-12
85,Air Molek - Simpang Japura,3,657,3,678,-0.36518184109859475,102.26088915612898,Seluruh Jalan,21.8,6,0.25,Lubang (Potholes),berat,2024-08-12
86,Air Molek - Simpang Japura,3,768,3,771,-0.365921503241222,102.26133675565893,Kiri Jalan,3.1,2.1,0.25,Lubang (Potholes),ringan,2024-08-12
87,Air Molek - Simpang Japura,3,856,3,861,-0.36677495947758176,102.26177676875584,Kiri Jalan,5.5,2.3,0.25,Lubang (Potholes),sedang,2024-08-12
88,Air Molek - Simpang Japura,3,945,3,948,-0.3674197930248105,102.26230023261469,Kanan Jalan,3,1.5,0.2,Lubang (Potholes),ringan,2024-08-12
89,Air Molek - Simpang Japura,3,962,3,968,-0.3674728969608398,102.2623647172937,Kiri Jalan,6.2,2.6,0.25,Lubang (Potholes),sedang,2024-08-12
90,Air Molek - Simpang Japura,3,965,3,969,-0.3675222077583105,102.26239126980863,Kanan Jalan,4,2,0.2,Lubang (Potholes),ringan,2024-08-12
91,Air Molek - Simpang Japura,3,970,3,973,-0.3676208293524123,102.26248610021895,Kiri Jalan,3.6,3,0.2,Lubang (Potholes),ringan,2024-08-12
92,Air Molek - Simpang Japura,4,148,4,151,-0.3689180825464357,102.26289576758712,Kiri Jalan,3.8,3.2,0.25,Lubang (Potholes),ringan,2024-08-12
93,Air Molek - Simpang Japura,4,185,4,193,-0.3693505002293731,102.26301335729595,Kiri Jalan,8.3,4.1,0.25,Lubang (Potholes),sedang,2024-08-12
94,Air Molek - Simpang Japura,4,265,4,268,-0.36989671202989705,102.26329405530466,Kiri Jalan,3.5,2,0.2,Lubang (Potholes),ringan,2024-08-12
95,Air Molek - Simpang Japura,4,335,4,344,-0.3705339590824077,102.26367717015567,Seluruh Jalan,9.75,6,0.2,Lubang (Potholes),berat,2024-08-12
96,Air Molek - Simpang Japura,11,100,11,104,-0.35046869836339545,102.29974215417717,Kiri Jalan,4.5,2.8,0.25,Lubang (Potholes),ringan,2024-08-12
97,Air Molek - Simpang Japura,14,300,14,306,-0.34949107966681475,102.32651452409551,Kiri Jalan,6,1.6,0.25,Lubang (Potholes),sedang,2024-08-12
